customerID,tenure,MonthlyCharges,TotalCharges
cust001,45,73.74,2932.1499999999996
cust002,48,95.86,4219.95
cust003,65,30.59,1799.58
cust004,68,67.36,4009.2799999999997
cust005,68,38.63,2449.26
cust006,10,93.69,810.46
cust007,22,41.66,858.38
cust008,37,33.52,1047.17
cust009,71,52.41,3014.4199999999996
cust010,13,34.97,394.37
cust011,59,42.23,2484.8099999999995
cust012,66,58.65,3388.71
cust013,40,110.26,3816.1800000000003
cust014,47,64.99,2460.7599999999998
cust015,38,81.31,2547.1000000000004
cust016,26,110.23,2573.87
cust017,10,29.93,295.96000000000004
cust018,21,116.98,2234.92
cust019,70,85.31,5947.83
cust020,48,37.09,1623.0400000000002
cust021,65,55.82,2917.4500000000003
cust022,50,95.07,4411.78
cust023,30,80.78,2190.32
cust024,20,52.5,905.38
cust025,20,23.84,392.84000000000003
cust026,15,83.43,1021.62
cust027,40,115.89,4434.58
cust028,33,85.28,2496.1200000000003
cust029,66,83.51,4558.030000000001
cust030,10,119.53,1073.6299999999999
